BIOCHEMICAL,1-ctrl,2-ctrl,3-ctrl,4-ctrl,5-ctrl,6-ctrl,7-ctrl,8-ctrl,9-Lm,10-Lm,11-Lm,12-Lm,13-Lm,14-Lm,15-Lm,16-Cr,17-Cr,18-Cr,19-Cr,21-Cr,22-Cr,23-GF,24-GF,25-GF,26-GF,27-GF,28-GF,29-GF,30-GF,31-GF
3-(4-hydroxyphenyl)propionate,330969,379691,409578.9688,312077,355896,370660,294491,165498,,260321,192576,149406,108739.0078,,189776,340120.9688,486018.0313,538052,392921,310795,320885,,,,,,,,,
3-acetylphenol sulfate,73206,69861,70274,74100,48043,63885,,33684,,,82589,50340,42819,,118623,83979,104587,228316,120026,69971,98136,,,,,,,,,
3-amino-2-piperidone,671726,609991,720850,832567,702508,752366,768231.0625,661548,608603,528795,540059,479845,379618,709384,515622,684973,690303,753815,631718,673619,586221,1420073.125,1487694.125,1483616.125,1125985,1341617,1311177,1250092,1263832,1201953
3-aminoisobutyrate,29549618,32038280,30740564,35262908,36372632,46171512,44576096,38430528,25652096,37247156,25267750,33730136,26366006,34511096,24427448,25665650,23905046,25860352,27297332,27503780,30980010,48915184,54716616,46491268,58266316,55680224,56733564,59469424,50265944,60737912
3-formylindole,1508354.125,1475827,1558814,1466154,1149156,1147256,1359707,1086128,1210061,1626324,1119820,1026280,1263392,1202305,1313284,2011243,1524324,2200279,1791007,2212690,1499272,1017477,1292941,1370311,1263202,1388585,1121069,1406681,1376336,1452347.125
3-hydroxy-2-ethylpropionate,475728,546807,706214,530581,532311,507451,603168,448059,610254,992400,421474,558829,470081,2158838,542406,678392,458552,544922,504505,629634,911403,572199,598299,721142,638144,678651,737016,683742,567014,658471
3-hydroxy-2-methylpyridine sulfate,172815,167888,94892,141929,148251,121318.9922,128858.0078,56281,59501.9961,88201,168646,108721,68912,,106033,119953.0078,137071,202715,148413,120773.0078,138196,74815,86425,94846,121239,37763,67144,76801,71466,54213
3-hydroxy-3-methylglutarate,1928377.125,1319483,1531967,1346222,1326093,1214936,1299283,1475271,4685734,6278486,1875472,5277310,2393256,10696652,2719868,2595744,1497540,2209270,1752875.875,2443746,1654609,1747553,1712852,1875901,1518121,2349310,1677011,1990855.125,1517364,1582062
3-hydroxyadipate*,327155,191738,245685.9844,426184,151817,192232,193367,251268,8646048,22928416,1029882.938,9594502,1540583,71468952,1570608,465400,194098,390273,271564,497497.9688,273895,404866,493537,620132,567644,472583.9688,881866,490094,467523,548160
3-hydroxybutyrate (BHBA),62141796,77268720,201408976,73740280,70264176,82906976,66756124,117248120,479230080,1529089536,88744848,405928576,198724816,3420282112,280865728,91113712,74818864,57979588,68920840,85770624,55980700,106852520,111111272,146394752,122523568,90535168,103339016,120760144,107295496,98497000
